焼肉ホルモン 新井屋 渋谷 - 神泉（焼肉）,3.66,"￥6,000～￥7,999"
お肉一枚売りの焼肉店 焼肉とどろき 渋谷神泉店 - 神泉（焼肉）,3.62,"￥5,000～￥5,999"
渋谷焼肉 かみ山 - 代々木公園（焼肉）,3.60,"￥10,000～￥14,999"
焼肉ホルモン 新井屋 はなれ - 神泉（焼肉）,3.57,"￥8,000～￥9,999"
ビーフキッチン 渋谷店 - 渋谷（焼肉）,3.57,"￥6,000～￥7,999"
イベリコ豚おんどる焼 裏渋屋（【旧店名】イベリコ豚 石焼ダイニング おんどる） - 神泉（豚料理）,3.53,"￥5,000～￥5,999"
うしごろバンビーナ 渋谷店（焼肉＆バル） - 渋谷（焼肉）,3.53,"￥6,000～￥7,999"
近江うし焼肉 にくTATSU 渋谷店 - 渋谷（焼肉）,3.53,"￥8,000～￥9,999"
ジンギスカン 羊一 - 神泉（ジンギスカン）,3.50,"￥4,000～￥4,999"
ほるもん倶楽部 あじくら - 神泉（焼肉）,3.48,"￥5,000～￥5,999"
焚火家 渋谷店 - 渋谷（焼肉）,3.47,"￥5,000～￥5,999"
永秀 - 神泉（焼肉）,3.47,"￥5,000～￥5,999"
ぱっぷHOUSE 渋谷本店（パップハウス） - 渋谷（焼肉）,3.47,"￥6,000～￥7,999"
炭火焼ホルモン　ぐう 渋谷 - 渋谷（焼肉）,3.45,"￥4,000～￥4,999"
焼肉ZENIBA 渋谷店（ヤキニクゼニバ） - 渋谷（焼肉）,3.45,"￥5,000～￥5,999"
焼肉 寿亭 渋谷店（ジュテイ） - 渋谷（焼肉）,3.45,"￥4,000～￥4,999"
シュラスコ＆ビアバー ゴッチバッタ 渋谷道玄坂　 - 渋谷（シュラスコ）,3.44,"￥4,000～￥4,999"
ひつじもん - 渋谷（ジンギスカン）,3.44,"￥5,000～￥5,999"
吟味焼肉 じゃんか 道玄坂 - 渋谷（焼肉）,3.43,"￥4,000～￥4,999"
渋谷焼肉 KINTAN - 渋谷（焼肉）,3.42,"￥6,000～￥7,999"
サムギョプサル専門店 金ちゃん 渋谷本店 - 渋谷（韓国料理）,3.41,"￥2,000～￥2,999"
焼肉店 ナルゲ - 渋谷（焼肉）,3.41,"￥5,000～￥5,999"
炭火焼肉 龍（リュウ） - 渋谷（焼肉）,3.36,"￥4,000～￥4,999"
房総ホルモン 渋谷本店 - 神泉（ホルモン）,3.35,"￥3,000～￥3,999"
和牛放題の殿堂 宇田川町 肉屋横丁 - 渋谷（焼肉）,3.34,"￥4,000～￥4,999"
焼肉 いのうえ 渋谷店 - 神泉（焼肉）,3.33,"￥8,000～￥9,999"
黒毛和牛焼肉 七甲山 渋谷道玄坂店（シチコウサン） - 渋谷（焼肉）,3.33,"￥4,000～￥4,999"
もんごろーや - 渋谷（ジンギスカン）,3.32,"￥3,000～￥3,999"
ばりばり亭 - 渋谷（焼肉）,3.32,"￥4,000～￥4,999"
本格大衆焼肉 飯田屋 - 神泉（焼肉）,3.31,"￥8,000～￥9,999"
たれ焼肉 金肉屋 渋谷道玄坂本店 - 神泉（焼肉）,3.29,"￥5,000～￥5,999"
チャングミ - 神泉（焼肉）,3.29,-
焼肉台所家 渋谷本店 - 神泉（焼肉）,3.25,"￥4,000～￥4,999"
たれ焼肉、塩ホルモン。まるきん食堂 渋谷店（【旧店名】焼肉定食 キンニクヤ） - 渋谷（焼肉）,3.25,"￥1,000～￥1,999"
明洞タッカルビ 渋谷店 - 渋谷（韓国料理）,3.24,"￥2,000～￥2,999"
仙台 牛タン 由雄 - 渋谷（焼肉）,3.24,"￥3,000～￥3,999"
和牛焼肉食べ放題　肉屋の台所 渋谷道玄坂店 - 渋谷（焼肉）,3.23,"￥3,000～￥3,999"
溶岩焼肉ダイニング bonbori 渋谷道玄坂店 - 渋谷（焼肉）,3.22,"￥4,000～￥4,999"
韓国料理・焼肉 金タレ 渋谷道玄坂店 - 渋谷（焼肉）,3.21,"￥4,000～￥4,999"
炙 焼肉・ホルモン 渋谷本店（ABURI） - 渋谷（焼肉）,3.20,"￥4,000～￥4,999"
人生ポチャ - 渋谷（韓国料理）,3.18,"￥2,000～￥2,999"
焼肉 もうもうくうくう 渋谷店 - 渋谷（焼肉）,3.18,"￥5,000～￥5,999"
韓の台所 別邸（ハンノダイドコロベッテイ） - 渋谷（焼肉）,3.18,"￥5,000～￥5,999"
自分焼き ウナギノボリ - 神泉（居酒屋）,3.17,"￥5,000～￥5,999"
三百屋 F3 - 神泉（焼肉）,3.15,"￥8,000～￥9,999"
焼肉 最牛 本店（SAIGYU） - 渋谷（焼肉）,3.15,"￥4,000～￥4,999"
YAKINIKU 八山牛（ハザンギュウ） - 神泉（焼肉）,3.14,"￥6,000～￥7,999"
たれ焼肉 金肉屋 渋谷道玄坂店PARTⅡ - 神泉（焼肉）,3.14,"￥5,000～￥5,999"
焼ジビエ罠 手止メ 宮益坂 - 渋谷（肉料理）,3.11,"￥4,000～￥4,999"
牛恋 渋谷店 - 渋谷（焼肉）,3.10,"￥5,000～￥5,999"
和牛焼肉食べ放題 肉屋の台所 渋谷宮益坂店 - 渋谷（焼肉）,3.10,"￥4,000～￥4,999"
吾照里 渋谷本館（オジョリ） - 渋谷（韓国料理）,3.10,"￥3,000～￥3,999"
サムギョプサル専門店 金ちゃん 渋谷2号店 - 渋谷（韓国料理）,3.10,"￥2,000～￥2,999"
熟成和牛焼肉エイジング・ビーフ 渋谷店 - 渋谷（焼肉）,3.10,"￥5,000～￥5,999"
牛兵衛 草庵 西武渋谷店（ギュウベエ　ソウアン） - 渋谷（焼肉）,3.10,"￥4,000～￥4,999"
明洞ポチャ 渋谷店（【旧店名】焼肉野郎） - 渋谷（韓国料理）,3.09,"￥3,000～￥3,999"
房総ホルモン 道玄坂基地 - 渋谷（ホルモン）,3.09,"￥2,000～￥2,999"
A5ランクの黒毛和牛焼肉×食べ放題 個室完備 炭治郎 渋谷店 - 渋谷（焼肉）,3.09,"￥3,000～￥3,999"
個室居酒屋 肉寿司食べ放題 まいた 渋谷本店 - 渋谷（居酒屋）,3.09,"￥2,000～￥2,999"
和牛焼肉食べ放題 武田 渋谷店 - 渋谷（焼肉）,3.09,"￥3,000～￥3,999"
大阪焼肉・ホルモン ふたご 渋谷センター街店 - 渋谷（焼肉）,3.09,"￥4,000～￥4,999"
焼肉29テラス 渋谷南口店（ニクテラス） - 渋谷（焼肉）,3.09,"￥5,000～￥5,999"
タン次郎 渋谷店 - 渋谷（居酒屋）,3.09,"￥4,000～￥4,999"
哲 - 渋谷（ホルモン）,3.09,"￥3,000～￥3,999"
完全貸切焼肉 虎室（KOSHITSU） - 神泉（焼肉）,3.09,"￥8,000～￥9,999"
レモホル酒場 渋谷ハンズ前店 - 渋谷（ホルモン）,3.09,"￥2,000～￥2,999"
黒毛和牛×焼肉食べ放題 牛丸 渋谷本店（GYUMARU/ギュウマル） - 渋谷（焼肉）,3.08,"￥3,000～￥3,999"
韓国大衆酒場 ラッキーソウル 渋谷文化村通り店 - 渋谷（韓国料理）,3.08,"￥3,000～￥3,999"
DEVIL（デビル） - 渋谷（ブラジル料理）,3.08,"￥2,000～￥2,999"
大阪焼肉･ホルモン ふたご 渋谷道玄坂店（【旧店名】渋谷ネオ焼肉・ホルモン ふたご） - 神泉（焼肉）,3.08,"￥4,000～￥4,999"
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 渋谷店 - 渋谷（焼肉）,3.08,"￥2,000～￥2,999"
いくどん 渋谷店 - 渋谷（焼肉）,3.07,"￥3,000～￥3,999"
MAYAK POCHA 渋谷センター街本店（マヤクポチャ） - 渋谷（韓国料理）,3.06,"￥3,000～￥3,999"
韓国料理 允矢家（ユヤガ） - 神泉（韓国料理）,3.06,"￥5,000～￥5,999"
牛若丸 渋谷店 - 渋谷（焼肉）,3.06,"￥3,000～￥3,999"
語り処夢 - 渋谷（居酒屋）,3.05,"￥2,000～￥2,999"
大阪焼肉・ホルモン ふたご 渋谷南口店 - 渋谷（焼肉）,3.05,"￥4,000～￥4,999"
YOROKARUBI 渋谷店 - 渋谷（焼肉）,3.05,"￥3,000～￥3,999"
焼肉少年團 渋谷店 - 神泉（焼肉）,3.03,"￥3,000～￥3,999"
七輪焼肉 安安 道玄坂店 - 渋谷（焼肉）,3.03,"￥2,000～￥2,999"
肉屋 HOT48 - 神泉（焼肉）,3.02,"￥4,000～￥4,999"
和牛食べ放題専門店 個室完備 焼肉サムライ 渋谷店（焼肉 侍） - 渋谷（焼肉）,-,"￥4,000～￥4,999"
三代目おおばかもん - 渋谷（焼肉）,-,-
